2016-10-23 17:21:11,753 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CSE2102-DesignProject:CSE2102-DesignProject:0.0.1-SNAPSHOT @ C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\pom.xml.
2016-10-23 17:21:11,753 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CSE2102-DesignProject:CSE2102-DesignProject:0.0.1-SNAPSHOT @ C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\pom.xml.
2016-10-23 17:21:15,203 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 17:21:15,236 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-23 17:21:15,969 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 17:21:15,969 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CSE2102-DesignProject:CSE2102-DesignProject:0.0.1-SNAPSHOT @ C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\pom.xml.
2016-10-23 17:21:15,986 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-23 17:21:17,780 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 17:21:17,787 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-23 17:21:17,789 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 17:21:17,799 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-23 18:03:43,966 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 18:03:43,978 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-23 18:03:43,980 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 18:03:43,987 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-23 18:03:45,888 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 18:03:45,894 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-23 18:03:45,896 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-23 18:03:45,905 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:30:46,196 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:30:46,325 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:30:46,328 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:30:46,335 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:30:49,138 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:30:49,147 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:30:49,148 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:30:49,155 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:36:34,925 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:36:34,963 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:36:34,965 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:36:34,973 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:36:48,110 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:36:48,118 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:36:48,119 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:36:48,157 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:41:13,277 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:13,284 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:41:13,286 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:13,293 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:41:44,612 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:44,671 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:41:44,677 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:41:44,682 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:51:19,551 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:51:19,617 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:51:19,620 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:51:19,627 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:53:13,199 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:13,260 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:53:13,262 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:13,269 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:53:48,412 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:48,419 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:53:48,420 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:53:48,426 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\test\resources
2016-10-25 18:54:20,021 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-25 18:54:20,043 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Connor\Documents\Junior Year\CSE 2102\Project\CSE2102\CSE2102-DesignProject\src\main\resources
2016-10-25 18:54:20,044 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
